galaxy,ra_deg,dec_deg,sparc_metric,coord_source,catalog_name
UGC06930,179.32248,49.28325,8310.363206521846,VizieR:J/AJ/152/157/table1,UGC06930
UGC06973,179.7176,42.7224,10499.587766571614,VizieR:J/AJ/152/157/table1,UGC06973
UGC06983,179.78639,52.70779,9339.321172822592,VizieR:J/AJ/152/157/table1,UGC06983
UGC07089,181.49061,43.14336,3691.9796416666654,VizieR:J/AJ/152/157/table1,UGC07089
UGC07125,182.17297,36.8023,2436.674026613212,VizieR:J/AJ/152/157/table1,UGC07125
UGC07151,182.49417,46.45718,3520.8933782753998,VizieR:J/AJ/152/157/table1,UGC07151
UGC07232,183.43399,36.63127,644.2696104993522,VizieR:J/AJ/152/157/table1,UGC07232
UGC07261,183.80983,20.65908,3924.2167101239247,VizieR:J/AJ/152/157/table1,UGC07261
UGC07323,184.37572,45.61929,3888.403426165224,VizieR:J/AJ/152/157/table1,UGC07323
UGC07399,185.15883,46.29102,8965.617336978072,VizieR:J/AJ/152/157/table1,UGC07399
UGC07524,186.45384,33.54675,4587.789852866153,VizieR:J/AJ/152/157/table1,UGC07524
UGC07559,186.77319,37.14177,581.000741427295,VizieR:J/AJ/152/157/table1,UGC07559
UGC07577,186.92453,43.49947,65.91180044661377,VizieR:J/AJ/152/157/table1,UGC07577
UGC07603,187.1838,22.82044,3302.4454400000004,VizieR:J/AJ/152/157/table1,UGC07603
UGC07608,187.18366,43.22383,3228.01739,VizieR:J/AJ/152/157/table1,UGC07608
UGC07690,188.11206,42.70412,2185.394605954613,VizieR:J/AJ/152/157/table1,UGC07690
UGC07866,190.56315,38.50163,541.2523302338772,VizieR:J/AJ/152/157/table1,UGC07866
UGC08286,198.04916,44.03802,5856.6901987128485,VizieR:J/AJ/152/157/table1,UGC08286
UGC08490,202.40212,58.41873,5408.679191875895,VizieR:J/AJ/152/157/table1,UGC08490
UGC08550,203.5118,47.91547,2678.1243190452155,VizieR:J/AJ/152/157/table1,UGC08550
UGC08699,206.28612,41.5033,25150.491378724837,VizieR:J/AJ/152/157/table1,UGC08699
UGC08837,208.69001,53.90557,1025.400009028745,VizieR:J/AJ/152/157/table1,UGC08837
UGC09037,212.12127,7.058,13389.766265633152,VizieR:J/AJ/152/157/table1,UGC09037
UGC09133,214.03213,35.34372,40356.43991593451,VizieR:J/AJ/152/157/table1,UGC09133
UGC09992,235.45004,67.25389,586.8408099999999,VizieR:J/AJ/152/157/table1,UGC09992
UGC10310,244.07459,47.04532,3594.4961500000004,VizieR:J/AJ/152/157/table1,UGC10310
UGC11455,292.4844,72.11282,42069.20541875,VizieR:J/AJ/152/157/table1,UGC11455
UGC11557,306.00286,60.19484,1919.139045095204,VizieR:J/AJ/152/157/table1,UGC11557
UGC11820,327.36933,14.23094,4380.497160000001,VizieR:J/AJ/152/157/table1,UGC11820
UGC11914,331.9682,31.35926,32172.0716105492,VizieR:J/AJ/152/157/table1,UGC11914
UGC12506,349.87698,16.07479,42714.81132535761,VizieR:J/AJ/152/157/table1,UGC12506
UGC12632,352.49492,40.99033,3924.719021328688,VizieR:J/AJ/152/157/table1,UGC12632
UGC12732,355.1665,26.23606,6283.924568883492,VizieR:J/AJ/152/157/table1,UGC12732
UGCA281,186.56675,48.4935,513.5407138036901,VizieR:J/AJ/152/157/table1,UGCA281
UGCA442,355.93979,-31.95677,2584.062738075525,VizieR:J/AJ/152/157/table1,UGCA442
UGCA444,0.49125,-15.46389,917.4826545675204,VizieR:J/AJ/152/157/table1,UGCA444
