object_type,log_Mbar,M_bar_Msun,closure,log_closure
galaxy,9.65258474602666,4493500000.0,0.7083580878748635,-0.14974714305389245
galaxy,8.20139712432045,159000000.0,0.6374360730468208,-0.19556336307457658
galaxy,8.52244423350632,333000000.0,1.3183176103922036,0.12002005352316727
galaxy,7.863322860120456,73000000.00000001,1.541074629334773,0.1878236707258716
cluster,13.728293289110601,53492548500000.0,0.2875192857665056,-0.5413330190750105
cluster,13.839806494259857,69152278500000.01,0.2776104845529974,-0.5565641358485703
cluster,13.854368086813347,71510215500000.0,0.2760639258686543,-0.5589903402631373
cluster,13.931981794761665,85503087000000.0,0.2667396750431741,-0.573912382244857
cluster,13.582932326858046,38276509500000.0,0.2959010571233478,-0.5288534832948704
cluster,13.675690498106128,47390413500000.0,0.2910998607631103,-0.5359580022898988
cluster,13.774883822422556,59550282000000.0,0.2837804588775339,-0.5470175133670727
cluster,13.888944198287813,77436229500000.0,0.2721400118823239,-0.565207600586273
cluster,13.80392635078705,63668754000000.0,0.2811634578175006,-0.5510411242619934
cluster,13.987349717807383,97129179000000.0,0.258897530404626,-0.5868720922331806
cluster,13.685676383558645,48492702000000.0,0.2904702338482732,-0.5368983656412438
cluster,13.98298561602566,96158043000000.0,0.2595537775526242,-0.585772646005624
cluster,14.145564851392379,139818568500000.0,0.2302507607443501,-0.6377989262276277
cluster,13.762435786022568,57867642000000.0,0.2848337370220671,-0.5454085721462354
cluster,13.87188219893249,74452999500000.02,0.2741212302197355,-0.5620573277942177
cluster,13.812835614313475,64988365500000.0,0.2803148064982224,-0.5523539617807705
cluster,13.97787459465904,95033034000000.0,0.2603138737498268,-0.5845026850124412
cluster,13.750124229214432,56250220500000.0,0.2858360953334277,-0.5438829294488035
cluster,14.337603638707154,217572318000000.0,0.1805754637535683,-0.7433412611119623
