row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,sub,,,,,153.0,0.2549876037621569,0.20687518398117202,0.32389227096191486,0.009532995848197954,0.006127137869943165,0.01443110152551201,1854463,1/kpc
annulus,sub,,,,,159.0,0.24844256671023557,0.1973125564673888,0.3079639960137374,0.00875926371203116,0.005862974946037816,0.014080058543500784,1887898,1/kpc
annulus,sub,,,,,165.0,0.24090519410154737,0.1883290947785471,0.29347114612387126,0.008674511639564512,0.005930076974380159,0.013818703933998394,1923575,1/kpc
annulus,sub,,,,,171.0,0.23341076617336864,0.1802658962364373,0.29165687472066093,0.008481446941808784,0.005802583611586744,0.018144181766153088,1960932,1/kpc
annulus,sub,,,,,177.0,0.2269623117792765,0.1729384562728733,0.2994248927667465,0.008176162078046202,0.005830953992396139,0.022904785020215493,1985762,1/kpc
annulus,sub,,,,,183.0,0.22786224041344016,0.16044607846757653,0.3143008138094045,0.008500524956553554,0.005554261263917254,0.02765812816299075,1854282,1/kpc
annulus,sub,,,,,189.0,0.22107263516043488,0.15100999626745687,0.33090816176150445,0.008738342104594864,0.005324676248016235,0.034560167328227025,1780633,1/kpc
annulus,sub,,,,,195.0,0.2106112274992629,0.14314768294772579,0.3507178057580003,0.008578725455724474,0.00511103266126445,0.034883043923335195,1736255,1/kpc
annulus,sub,,,,,201.0,0.19990092968994397,0.13609775952025183,0.35749065166772254,0.008239884953560041,0.00496357316937013,0.04016838237527773,1704205,1/kpc
annulus,sub,,,,,207.0,0.18923010795807618,0.12964153450430851,0.30240687584583104,0.007347898971753017,0.0047544107475999955,0.03460027684204435,1679081,1/kpc
annulus,sub,,,,,213.0,0.1802692386414717,0.12365945347135347,0.27355834031972903,0.00621050786664628,0.00443555373486172,0.02514946510770259,1658530,1/kpc
