row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,main,,,,,282.0,1.589846891710592e-05,1.3118744603039287e-05,2.5739370708429708e-05,5.977131335997304e-07,2.5227299751880915e-07,1.6255515842959799e-06,1379,1/kpc
annulus,main,,,,,294.0,1.4777782356849285e-05,1.2512852205516126e-05,2.31143636305366e-05,5.646531876167394e-07,2.92688199502485e-07,1.293875333831823e-06,1427,1/kpc
annulus,main,,,,,306.0,1.4072197191770171e-05,1.1875208748329922e-05,2.156953925262243e-05,5.177636463474454e-07,2.4044552489821314e-07,1.24178930206604e-06,1488,1/kpc
annulus,main,,,,,318.0,1.3411212457839703e-05,1.1360307925567221e-05,2.0032630800983117e-05,4.521472774174908e-07,1.9738593108511046e-07,1.0978529677102122e-06,1556,1/kpc
annulus,main,,,,,330.0,1.3113375794441448e-05,1.0679077794137455e-05,1.8373071820709917e-05,4.6243559571904157e-07,2.232307885049676e-07,1.1854032577753583e-06,1601,1/kpc
annulus,main,,,,,342.0,1.2477280663460903e-05,1.017521358741891e-05,1.6775926787157737e-05,4.534691404284518e-07,1.9477424016378252e-07,1.13341641942084e-06,1659,1/kpc
annulus,main,,,,,354.0,1.2423614724420623e-05,9.664296307477572e-06,1.5380169969682346e-05,5.302245725094462e-07,2.1812253927819473e-07,1.241887675391848e-06,1733,1/kpc
annulus,main,,,,,366.0,1.2079574796710877e-05,9.178777295230272e-06,1.410845114020968e-05,5.330026013020531e-07,2.2859175068799294e-07,1.4740802780263074e-06,1775,1/kpc
annulus,main,,,,,378.0,1.1118576759552721e-05,8.741508005702166e-06,1.3227335542085618e-05,4.682492186276268e-07,2.1386935856215768e-07,1.124136965028125e-06,1842,1/kpc
annulus,main,,,,,390.0,1.0360801669892178e-05,8.157854255674059e-06,1.2530032643665547e-05,3.8685391084274796e-07,1.9003231321272315e-07,8.236457726410861e-07,1899,1/kpc
annulus,main,,,,,402.0,1.0015265327498302e-05,7.96580584520504e-06,1.2126040595791033e-05,3.423195500941877e-07,1.6618159562002585e-07,1.16686282380528e-06,1939,1/kpc
annulus,main,,,,,414.0,9.633311001954811e-06,7.602444893343244e-06,1.1725131452224044e-05,3.80071250564344e-07,1.793783624752685e-07,1.206314005816693e-06,2013,1/kpc
annulus,main,,,,,426.0,9.172319306472365e-06,7.175496377132423e-06,1.117485151493702e-05,4.2542754940085725e-07,1.9067808761812598e-07,9.907442528803375e-07,2084,1/kpc
annulus,main,,,,,438.0,8.823300316563332e-06,6.984942229132971e-06,1.1194789419109908e-05,3.2351950956255015e-07,1.553616093663702e-07,8.473670865487593e-07,2124,1/kpc
annulus,main,,,,,450.0,8.603706709056747e-06,6.427201763645724e-06,1.0827333194068857e-05,2.7000522387443235e-07,1.3021142798069855e-07,7.020782450355386e-07,2174,1/kpc
annulus,main,,,,,462.0,8.04290637204543e-06,6.137678770175975e-06,1.0088668581133396e-05,2.932118516990749e-07,1.3617204481152452e-07,6.758673636711191e-07,2251,1/kpc
annulus,main,,,,,474.0,7.683517371556523e-06,5.897615800382278e-06,9.992339626084309e-06,2.7714693022391025e-07,1.30216639871664e-07,6.559881648433173e-07,2321,1/kpc
annulus,main,,,,,486.0,7.343232196893458e-06,5.312343239399625e-06,9.842596346600177e-06,2.610435409300506e-07,1.111134512663495e-07,6.092194121187456e-07,2353,1/kpc
