galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
UGC03546,rfrac,23924.010382555163,20914.75350960222,154.67388397061464,144.61934002616047,192.0,3009.256872952945,1.1438820147496052,10.054543944454167
UGC03580,rfrac,12898.222458543085,8861.118749114408,113.57034145648716,94.1335155463473,127.0,4037.1037094286767,1.4555975180709715,19.43682591013986
UGC04278,rfrac,5838.6276068108555,5264.850349481743,76.4109128777484,72.55928851278617,90.2,573.7772573291122,1.1089826337391704,3.851624364962234
UGC04305,rfrac,27.24257714209368,210.56628523796354,5.219442225189745,14.510902288898631,35.1,-183.32370809586985,0.12937767844128756,-9.291460063708886
UGC04325,lastfrac,6444.404791684948,10425.401273900678,80.27705021788573,102.1048543111476,91.5,-3980.99648221573,0.6181445320304458,-21.827804093261875
UGC04483,lastfrac,351.98490000000004,570.5032357403461,18.76126061862582,23.88520956031883,22.9,-218.51833574034606,0.6169726619398166,-5.123948941693012
UGC04499,lastfrac,3759.1586315903114,3999.399058719258,61.31197788026669,63.24080216694961,72.8,-240.24042712894652,0.9399308687125911,-1.928824286682918
UGC05005,lastfrac,7846.0770445778035,5747.24567910634,88.5780844485689,75.81059081095688,99.1,2098.831365471464,1.365189080588916,12.76749363761202
UGC05253,rfrac,34080.3404871213,35593.103752041105,184.60861433617148,188.66134673546964,212.0,-1512.7632649198058,0.9574984166748016,-4.052732399298151
UGC05414,lastfrac,1731.4871555568175,2970.1347288738016,41.611142204424254,54.49894245647159,51.8,-1238.647573316984,0.5829658630379211,-12.887800252047334
UGC05716,rfrac,4413.90234386631,4146.09072447755,66.43720602092107,64.39014462227546,73.15,267.81161938875994,1.0645937672824337,2.04706139864561
UGC05721,rfrac,5378.964193186276,7569.708478243185,73.34142208320122,87.00407161876497,78.6,-2190.7442850569087,0.7105906665555835,-13.662649535563745
UGC05750,lastfrac,3952.929143936005,9826.929442158536,62.87232414931076,99.13087027842808,73.4,-5874.0002982225315,0.40225475996373117,-36.25854612911732
UGC05764,lastfrac,2342.66087,6227.275618584192,48.40104203423724,78.9130890194028,54.05,-3884.6147485841916,0.37619354168438396,-30.51204698516556
UGC05829,rfrac,2639.75654,5079.625553013311,51.378561093125214,71.27149186745926,60.7,-2439.8690130133114,0.5196754194674952,-19.892930774334047
UGC05918,lastfrac,1393.5152599876767,2445.0814316982114,37.32981730450441,49.447764678478755,41.2,-1051.5661717105347,0.569925910001215,-12.117947373974346
UGC05986,rfrac,10503.795025893727,12682.53981513546,102.48802381690129,112.61678300828638,112.0,-2178.744789241733,0.8282091110298271,-10.128759191385086
UGC05999,lastfrac,6117.400690315992,7092.219893972859,78.21381393536561,84.21531864199564,91.2,-974.8192036568671,0.8625509053258075,-6.00150470663003
UGC06399,lastfrac,5618.159779193651,6424.913580713304,74.95438465622709,80.1555586388948,84.1,-806.7538015196533,0.8744335170606161,-5.2011739826677115
UGC06446,rfrac,5486.5813071428565,5996.251914689166,74.0714608141547,77.43546935797036,83.2,-509.67060754630984,0.9150018019927153,-3.3640085438156575
UGC06614,lastfrac,28415.06677955119,15720.315011900584,168.56769198025816,125.38068037740338,202.0,12694.751767650607,1.8075380014993614,43.18701160285478
UGC06628,lastfrac,218.63758999999965,343.12210837487567,14.786398817832543,18.523555500358878,42.3,-124.48451837487602,0.637200532007482,-3.7371566825263347
UGC06667,lastfrac,6122.73247640637,10223.543374724937,78.24789119462818,101.11153927581627,84.0,-4100.8108983185675,0.5988855577747378,-22.86364808118809
UGC06786,rfrac,40689.59512094007,41000.2876066585,201.7166208346255,202.4852775059424,218.0,-310.6924857184349,0.9924221876514843,-0.7686566713169043
UGC06787,rfrac,51191.06649975288,45551.73564911775,226.25442868539145,213.42852585612297,249.0,5639.330850635131,1.1238005702806706,12.825902829268472
UGC06818,lastfrac,3495.5943149282502,3169.9373407581616,59.12355127128487,56.30219658910442,68.1,325.6569741700887,1.1027329373306163,2.8213546821804485
UGC06917,rfrac,8397.34837,8552.721275148684,91.6370469297216,92.48092384458907,105.0,-155.37290514868437,0.9818335123815919,-0.8438769148674652
UGC06923,lastfrac,3732.368034977763,4913.171963957116,61.09310955400586,70.09402231258466,78.4,-1180.8039289793528,0.7596656625003775,-9.000912758578792
UGC06930,rfrac,8310.363206521846,8051.326007072872,91.16119353388176,89.72918146886704,108.0,259.0371994489742,1.0321732344736032,1.4320120650147175
UGC06973,rfrac,10499.587766571614,13653.209638652363,102.46749614668846,116.84694963349433,177.0,-3153.6218720807483,0.7690197429362825,-14.379453486805872
UGC06983,rfrac,9339.321172822592,9454.197876157452,96.64016335262784,97.23269962393029,108.0,-114.87670333485949,0.9878491327514345,-0.5925362713024498
