name,type,source,redshift,M500_Msun,M_bar_Msun,M_gas_Msun,M_star_Msun,sigma_kms,sigma2_kms2,Q1_MOND_kms2,Q1_cluster_kms2,IRS_closure,Q1_ref_kms2
PSZ2 G225.84+41.84,cluster,PSZ2_Planck2016,0.206,404300000000000.0,54580500000000.0,50537500000000.0,4043000000000.0,708.653367399391,502189.59512649616,932318.5327539092,267444.3226764962,0.286859386873402,932318.5327539092
PSZ2 G225.93-19.99,cluster,PSZ2_Planck2016,0.46,1073086600000000.0,144866691000000.03,134135825000000.02,10730866000000.002,983.7272036134528,967719.2111291436,1518902.2745580769,344662.05980724364,0.226915230545377,1518902.2745580769
PSZ2 G226.16-21.95,cluster,PSZ2_Planck2016,0.0989,387321400000000.0,52288389000000.0,48415175000000.0,3873214000000.0,698.5112734714879,487917.9991667598,912532.189475193,263030.8669166597,0.2882428367463197,912532.189475193
PSZ2 G226.18+76.79,cluster,PSZ2_Planck2016,0.1427,594710900000000.0,80285971500000.0,74338862500000.0,5947109000000.0,806.7671010914697,650873.1554035337,1130746.8740583614,305571.2205791837,0.270238395161296,1130746.8740583614
PSZ2 G226.75+48.95,cluster,PSZ2_Planck2016,0.2245,484955100000000.0,65468938500000.0,60619387500000.0,4849551000000.0,753.3158625584814,567484.7887822288,1021088.093447925,285909.4311875789,0.2800046666122056,1021088.093447925
PSZ2 G227.21+54.79,cluster,PSZ2_Planck2016,0.326478,486752700000000.0,65711614500000.0,60844087500000.0,4867527000000.0,754.252937292402,568897.493414216,1022978.794428902,286278.410611166,0.2798478445205568,1022978.794428902
PSZ2 G227.59+22.98,cluster,PSZ2_Planck2016,0.28085,476842900000000.0,64373791500000.0,59605362500000.0,4768429000000.0,749.0581019275922,561088.0400633672,1012511.8317384876,284222.80020101723,0.2807105964510116,1012511.8317384876
PSZ2 G227.61+54.87,cluster,PSZ2_Planck2016,0.3188,527588700000000.0,71224474500000.0,65948587500000.0,5275887000000.0,774.9482129068175,600544.7326874702,1065025.948620592,294215.3903104202,0.276251851601817,1065025.948620592
PSZ2 G227.63-52.28,cluster,PSZ2_Planck2016,0.2109,365387800000000.0,49327353000000.0,45673475000000.0,3653878000000.0,684.9624381126138,469173.54162517627,886317.7928523732,257021.52910747624,0.2899880056343247,886317.7928523732
PSZ2 G227.89+36.58,cluster,PSZ2_Planck2016,0.4616,638764400000000.0,86233194000000.0,79845550000000.0,6387644000000.0,826.3725346832668,682891.566078847,1171879.07203939,312011.2220042471,0.2662486509476291,1171879.07203939
PSZ2 G228.16+75.20,cluster,PSZ2_Planck2016,0.545,1041782600000000.0,140640651000000.0,130222825000000.0,10417826000000.0,973.9900123912726,948656.5442379512,1496583.6502141126,343775.1683520513,0.2297066176707651,1496583.6502141126
PSZ2 G228.29+55.08,cluster,PSZ2_Planck2016,0.3152,451174000000000.0,60908489999999.99,56396749999999.99,4511739999999.999,735.2601080418248,540607.4264776758,984882.6317779772,278646.10183667584,0.2829231553547095,984882.6317779772
PSZ2 G228.30-49.02,cluster,PSZ2_Planck2016,0.425,720482300000000.0,97265110500000.0,90060287500000.0,7204823000000.0,860.4840651215009,740432.8263280233,1244583.6878929203,322105.31257857336,0.2588056678807172,1244583.6878929203
