r,aN,aBL,aTot,v
1.9014371092773195,0.11878830278134805,8.532523235967856e-06,0.11879683530458403,0.47527330149382685
1.913939984996249,0.11777111703165664,9.233111098301128e-06,0.11778035014275494,0.47478892319121907
1.926442860715179,0.11676694082353727,9.991601046983178e-06,0.11677693242458424,0.47430379269573547
1.9389457364341085,0.1157755532475703,1.081280337404086e-05,0.11578636605094435,0.4738179827651938
1.9514486121530383,0.11479673806346767,1.1701929635826539e-05,0.1148084399931035,0.47333156548871447
1.9639514878719682,0.11383028358214747,1.2664626230102021e-05,0.11384294820837758,0.47284461244427284
1.9764543635908978,0.11287598255126922,1.3707010788310488e-05,0.11288968956205754,0.47235719486353805
1.9889572393098276,0.11193363204411316,1.483571161912324e-05,0.11194846775573229,0.47186938380488996
2.0014601150287574,0.11100303335169351,1.6057910459089518e-05,0.11101909126215259,0.47138125033558137
2.013962990747687,0.11008399187799785,1.7381388807594775e-05,0.11010137326680544,0.47089286572408684
2.0264658664666166,0.10917631703824937,1.8814578146478066e-05,0.10919513161639585,0.47040430164376246
