galaxy,delta_external,in_twompp_grid,ra_deg,dec_deg,l_deg,b_deg,distance_input,distance_units,distance_mpch,x_mpch,y_mpch,z_mpch,vx_kms,vy_kms,vz_kms,in_twompp_velocity_grid
UGC05999,-0.3332821769788623,True,163.24438,7.6198,273.62860774520453,55.82798831721014,47.7,mpc,33.39,1.186948482259417,-18.71687357254356,27.6253850103466,508.14509379965034,-173.60989728430783,-186.76461515162407,True
UGC06399,2.6960902332119314,True,170.84677,50.89268,3.784726583769723,60.96054700641542,18.0,mpc,12.6,6.1028493151519765,0.4037168110626327,11.015999408724316,-250.98161277488572,-915.7644983422298,262.68500873978576,True
UGC06446,2.15600372207755,True,171.66854,53.74667,8.303254816088694,59.13990092339493,12.0,mpc,8.399999999999999,4.263560134708973,0.6222335157836842,7.210747563849109,-181.73768595548373,-851.7374281924663,488.5305091285726,True
UGC06614,0.05197864213419234,True,174.81185,17.14358,275.7623053432592,70.5636413695034,88.7,mpc,62.089999999999996,2.07440495986452,-20.5566436686771,58.55159558151705,1.9795227338991612,-236.4074269981845,129.47379220765865,True
UGC06628,3.94418234802167,True,175.02392,45.94216,0.6950484454009785,66.46655039411374,15.1,mpc,10.569999999999999,4.220125426510458,0.05119636265876977,9.69086272304847,-210.7132338731543,-893.1241082701417,370.13403829562617,True
UGC06667,2.5641570067500328,True,175.60962,51.59801,9.594834498778201,62.29015192125958,18.0,mpc,12.6,5.776967058073987,0.9765651263197107,11.154952808684765,-239.68490663995925,-936.4032799447444,245.48235413852686,True
UGC06786,2.021758856981043,True,177.28931,27.02207,306.0566465631455,76.14464624777388,29.3,mpc,20.509999999999998,2.8908706802283697,-3.97068077411093,19.91322828926294,103.55028854297663,-611.0638099719072,-236.31447360592114,True
UGC06787,1.417821963870932,True,177.31404,56.08435,16.072612293344665,58.96192195491676,21.3,mpc,14.91,7.387209415380338,2.1283836566276526,12.775258121208996,-200.449485302995,-939.6497952363216,149.49037633995854,True
UGC06818,3.7589114734692037,True,177.69564,45.8072,4.106752204233969,67.77826393482124,18.0,mpc,12.6,4.752983827810883,0.34126113044136963,11.664162446288977,-227.14926969932174,-923.3250151408798,196.82716396755896,True
UGC06917,2.748911778094266,True,179.11989,50.42839,12.39377806547838,64.45169298246098,18.0,mpc,12.6,5.307389526798014,1.1663010747521851,11.36799710652086,-231.25040020024082,-947.7214072151896,224.1716155026196,True
UGC06923,2.22109649745314,True,179.20636,53.16034,15.348666596747941,62.06379160033798,18.0,mpc,12.6,5.69241065629906,1.5624654935094893,11.131718757750082,-233.59541977035337,-955.965239517445,242.66136626521566,True
UGC06930,2.9761095672067492,True,179.32248,49.28325,11.317891716679961,65.51068345765253,18.0,mpc,12.6,5.121427477495462,1.0250254168317918,11.466486100266431,-229.45475122173838,-944.8367285885785,215.29464889596562,True
